"","X","X0","moas"
"1","ribociclib","CHEMBL3545110","Cyclin-dependent kinase 4 inhibitor"
"2","ribociclib","CHEMBL3545110","Cyclin-dependent kinase 6 inhibitor"
"3","ribociclib","CHEMBL3545110","cyclin dependent kinase inhibitors (formerly-cidib)"
"4","bortezomib","CHEMBL325041","26S proteosome inhibitor"
"5","bortezomib","CHEMBL325041","proteozome inhibitors"
"6","linifanib","CHEMBL223360","Macrophage colony stimulating factor receptor inhibitor"
"7","linifanib","CHEMBL223360","Tyrosine-protein kinase receptor FLT3 inhibitor"
"8","linifanib","CHEMBL223360","Platelet-derived growth factor receptor inhibitor"
"9","linifanib","CHEMBL223360","Vascular endothelial growth factor receptor inhibitor"
"10","linifanib","CHEMBL223360","angiogenesis inhibitors"
"11","dovitinib","CHEMBL522892","Fibroblast growth factor receptor 3 inhibitor"
"12","dovitinib","CHEMBL522892","Tyrosine-protein kinase receptor FLT3 inhibitor"
"13","dovitinib","CHEMBL522892","Stem cell growth factor receptor inhibitor"
"14","dovitinib","CHEMBL522892","Platelet-derived growth factor receptor inhibitor"
"15","dovitinib","CHEMBL522892","Vascular endothelial growth factor receptor inhibitor"
"16","dovitinib","CHEMBL522892","tyrosine kinase inhibitors"
"17","canertinib","CHEMBL31965"," tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors"
"18","ispinesib","CHEMBL228814","Kinesin-like protein 1 inhibitor"
"19","ispinesib","CHEMBL228814","kinesin inhibitors"
"20","AZD2014","CHEMBL2336325","Serine/threonine-protein kinase mTOR inhibitor"
"21","AZD2014","CHEMBL2336325","serine/threonine kinase inhibitors"
"22","venetoclax","CHEMBL3137309","Apoptosis regulator Bcl-2 inhibitor"
"23","venetoclax","CHEMBL3137309","bcl-2 (B-cell lymphoma 2) inhibitors"
"24","AVL-292","CHEMBL3301600","Tyrosine-protein kinase BTK inhibitor"
"25","AVL-292","CHEMBL3301600","tyrosine kinase inhibitors: tyrosine kinase inhibitors Bruton's (Btk) inhibitors"
"26","dabrafenib","CHEMBL2028663"," rapidly accelerated fibrosarcoma (RAF) kinase inhibitors"
"27","cobimetinib","CHEMBL2146883","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor"
"28","cobimetinib","CHEMBL2146883","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
"29","cobimetinib","CHEMBL2146883","tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors"
"30","odanacatib","CHEMBL481611","Cathepsin K inhibitor"
"31","odanacatib","CHEMBL481611","cathespin inhibitors"
"32","sunitinib","CHEMBL535"," tyrosine kinase inhibitors"
"33","imatinib","CHEMBL941"," tyrosine kinase inhibitors"
"34","atiprimod","CHEMBL103735"," immunomodulators"
"35","tasisulam","CHEMBL2110587"," antineoplastics"
"36","tasisulam","CHEMBL2110587","apoptosis inducing sulfonamide"
"37","2-methoxyestradiol","CHEMBL299613"," estrogens"
"38","tivozanib","CHEMBL1289494","Vascular endothelial growth factor receptor inhibitor"
"39","tivozanib","CHEMBL1289494","angiogenesis inhibitors"
"40","ONC201","CHEMBL4297310","Unknown"
"41","vorinostat","CHEMBL98","Histone deacetylase 1 inhibitor"
"42","vorinostat","CHEMBL98","Histone deacetylase 3 inhibitor"
"43","vorinostat","CHEMBL98","Histone deacetylase 6 inhibitor"
"44","vorinostat","CHEMBL98","Histone deacetylase 2 inhibitor"
"45","vorinostat","CHEMBL98","enzyme inhibitors: histone deacetylase inhibitors"
"46","barasertib","CHEMBL415049","Serine/threonine-protein kinase Aurora-B inhibitor"
"47","barasertib","CHEMBL415049","serine/threonine kinase inhibitors"
"48","daunorubicin","CHEMBL178","DNA inhibitor"
"49","daunorubicin","CHEMBL178","DNA topoisomerase II alpha inhibitor"
"50","daunorubicin","CHEMBL178","antineoplastic antibiotics (daunorubicin type)"
"51","BMS-690514","CHEMBL3545396","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"52","BMS-690514","CHEMBL3545396","Epidermal growth factor receptor erbB1 inhibitor"
"53","BMS-690514","CHEMBL3545396","Vascular endothelial growth factor receptor inhibitor"
"54","BMS-690514","CHEMBL3545396","Receptor protein-tyrosine kinase erbB-4 inhibitor"
"55","irinotecan","CHEMBL481"," antineoplastics (camptothecin derivatives)"
