,MOAs,definitions
CHEMBL3545110,"Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 6 inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL325041,26S proteosome inhibitor,proteozome inhibitors
CHEMBL223360,"Macrophage colony stimulating factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Platelet-derived growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor",angiogenesis inhibitors
CHEMBL522892,"Fibroblast growth factor receptor 3 inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor",tyrosine kinase inhibitors
CHEMBL31965,:(,tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors
CHEMBL228814,Kinesin-like protein 1 inhibitor,kinesin inhibitors
CHEMBL2336325,Serine/threonine-protein kinase mTOR inhibitor,serine/threonine kinase inhibitors
CHEMBL3137309,Apoptosis regulator Bcl-2 inhibitor,bcl-2 (B-cell lymphoma 2) inhibitors
CHEMBL3301600,Tyrosine-protein kinase BTK inhibitor,tyrosine kinase inhibitors: tyrosine kinase inhibitors Bruton's (Btk) inhibitors
CHEMBL2028663,:(,rapidly accelerated fibrosarcoma (RAF) kinase inhibitors
CHEMBL2146883,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors
CHEMBL481611,Cathepsin K inhibitor,cathespin inhibitors
CHEMBL535,:(,tyrosine kinase inhibitors
CHEMBL941,:(,tyrosine kinase inhibitors
CHEMBL103735,:(,immunomodulators
CHEMBL2110587,:(,"antineoplastics, apoptosis inducing sulfonamide"
CHEMBL299613,:(,estrogens
CHEMBL1289494,Vascular endothelial growth factor receptor inhibitor,angiogenesis inhibitors
CHEMBL4297310,Unknown,
CHEMBL98,"Histone deacetylase 1 inhibitor, Histone deacetylase 3 inhibitor, Histone deacetylase 6 inhibitor, Histone deacetylase 2 inhibitor",enzyme inhibitors: histone deacetylase inhibitors
CHEMBL415049,Serine/threonine-protein kinase Aurora-B inhibitor,serine/threonine kinase inhibitors
CHEMBL178,"DNA inhibitor, DNA topoisomerase II alpha inhibitor",antineoplastic antibiotics (daunorubicin type)
CHEMBL3545396,"Receptor protein-tyrosine kinase erbB-2 inhibitor, Epidermal growth factor receptor erbB1 inhibitor, Vascular endothelial growth factor receptor inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor",
CHEMBL481,:(,antineoplastics (camptothecin derivatives)
CHEMBL1972860,:(,"heat-shock protein inducers, bimoclomal type"
