PAM50	iC10	ER	Her2
ACH-000828	Her2	iC8	1	1
ACH-000117	Her2	iC5	0	1
ACH-000017	Her2	iC5	0	1
ACH-000554	Her2	iC5	0	1
ACH-000276	Basal	iC1	0	0
ACH-000818	LumB	iC8	1	0
ACH-000856	Her2	iC7	0	0
ACH-000223	Basal	iC9	0	0
ACH-000019	LumB	iC1	1	0
ACH-000330	LumB	iC7	1	0
ACH-000725	Her2	iC1	0	1
ACH-000643	Basal	iC4	0	0
ACH-000711	Basal	iC6	0	0
ACH-000248	Her2	iC5	0	1
ACH-000857	Basal	iC4	0	0
ACH-000196	Basal	iC9	0	0
ACH-000258	Her2	iC8	0	0
ACH-000691	Basal	iC9	0	0
ACH-000374	Basal	iC9	0	0
ACH-000148	Basal	iC4	0	0
ACH-001705	Basal	iC4	0	0
ACH-001392	LumA	iC4	0	0
ACH-000876	Her2	iC3	1	0
ACH-000668	Basal	iC10	0	0
ACH-002921	LumB	iC8	1	0
ACH-001396	Her2	iC4	0	0
ACH-001419	Basal	iC4	0	0
ACH-001389	Basal	iC4	0	0
ACH-000568	Her2	iC5	1	1
ACH-000111	Basal	iC10	0	0
ACH-000621	Basal	iC1	0	0
ACH-000755	Her2	iC1	0	1
ACH-000028	LumB	iC1	1	0
ACH-000277	Her2	iC9	1	1
ACH-001394	Basal	iC4	0	0
ACH-000721	Basal	iC4	0	0
ACH-000902	Her2	iC8	0	0
ACH-000859	Her2	iC5	0	1
ACH-000927	LumB	iC5	1	1
ACH-000768	LumB	iC4	0	0
ACH-000349	LumB	iC1	1	0
ACH-001393	LumA	iC4	0	1
ACH-000573	Basal	iC8	0	0
ACH-000783	LumB	iC6	1	0
ACH-000759	LumB	iC2	1	0
ACH-000910	Her2	iC8	0	0
ACH-000147	LumB	iC8	1	0
ACH-000930	Basal	iC9	0	1
ACH-000624	Basal	iC4	0	0
ACH-000699	Basal	iC10	0	0
ACH-000044	LumB	iC2	1	0
ACH-000352	LumB	iC1	1	0
ACH-001390	Basal	iC4	0	0
ACH-001388	Normal	iC4	0	0
ACH-001395	LumA	iC3	1	0
ACH-000536	Basal	iC10	0	0
ACH-001819	LumB	iC8	0	0
ACH-000212	Basal	iC4	0	0
ACH-000849	Basal	iC3	0	0
ACH-000097	LumB	iC8	1	0
ACH-000288	Basal	iC10	0	0
ACH-001820	Basal	iC10	0	0
ACH-001391	Basal	iC4	0	0
ACH-000934	Her2	iC1	1	1
