"","drug_id","drug_name","targets","united_values"
"1",1834,"743380","-","Unknown"
"2",2011,"ICL-SIRT078","SIR2","Histone deacetylase inhibitor"
"3",2038,"UNC0638","G9A, GLP","Histone methylation regulator"
"4",1812,"Bleomycin","dsDNA break induction","DNA inhibitor"
"5",1817,"Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","Histone deacetylase inhibitor"
"6",1584,"BDOCA000347a","BRPF1, BRPF2, BRPF3","Histone acetylation effector"
"7",1716,"IRAK4_4710","IRAK4","Kinase inhibitor"
"8",2154,"GSK-LSD1-2HCl","LSD1","Histone methylation regulator"
"9",2159,"UNC0379","SETD8","Histone methylation regulator"
"10",2439,"glutathione","anti-oxidant proteins","Antioxidant protein"
"11",1832,"729189","-","Unknown"
"12",1449,"AZD1208","PIM1, PIM2, PIM3","Kinase inhibitor"
"13",1818,"Vincristine","-",""
"14",1825,"Podophyllotoxin bromide","-","Unknown"
"15",1580,"GSK2801","-",""
"16",1776,"GSK2256098C","FAK1","Cytoskeleton"
"17",1783,"LMB_AB1","ADRA1A, ADRB1","Other"
"18",1804,"Acetalax","-","Unknown"
"19",2112,"VTP-A","-","Unknown"
"20",2149,"CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","Histone methylation regulator"
"21",1828,"720427","-","Unknown"
"22",1830,"Gallibiscoquinazole","-","Unknown"
"23",1839,"615590","-","Unknown"
"24",1843,"LMP744","TOP1","Topoisomerase inhibitor"
"25",1847,"BEN","-","Unknown"
"26",2010,"HKMTI-1-005","-","Unknown"
"27",1463,"AZD1332","NTRK1, NTRK2, NTRK3","RTK signaling"
"28",1821,"765771","-","Unknown"
"29",1733,"ULK1_4989","ULK1","Kinase inhibitor"
"30",1734,"VSP34_8731","VSP34","Other"
"31",1736,"Selumetinib","MEK1, MEK2","MEK inhibitor"
"32",1784,"LMB_AB2","GADD34","Unknown"
"33",2057,"Remodelin","-","Unknown"
"34",2157,"A-366","EHMT1, EHMT2","Histone methylation regulator"
"35",2171,"BMS-754807","IGF1R, IR","IGF receptor inhibitor"
"36",1829,"667880","-","Unknown"
"37",1831,"L-Oxonoreleagnine","-","Unknown"
"38",1833,"741909","-","Unknown"
"39",1840,"630600","-","Unknown"
"40",1809,"Teniposide","-","DNA inhibitor"
"41",1816,"Fulvestrant","ESR","Estrogen receptor antagonist"
"42",1820,"123829","-","Unknown"
"43",1824,"123138","-","Unknown"
"44",1583,"GSK-LSD1","KDM1","Histone methylation regulator"
"45",1708,"CDK9_5576","CDK9","CDK inhibitor"
"46",1738,"IGF1R_3801","IGFR1","IGF receptor inhibitor"
"47",1739,"JAK_8517","JAK1, JAK2","JAK inhibitor"
"48",1777,"GSK2276186C","JAK1, JAK2, JAK3","JAK inhibitor"
"49",1778,"GSK2110183B","AKT1, AKT2, AKT3","AKT inhibitor"
"50",1780,"GSK3337463A","NIK","NfkB pathway inhibitor"
"51",1802,"Zoledronate","","calcium metabolism regulators, Farnesyl diphosphate synthase inhibitor"
"52",2170,"AT13148","AKT1","AKT inhibitor"
"53",1836,"150412","-","Unknown"
"54",2002,"N30652-18-1","-","Unknown"
"55",1814,"Nelarabine","-","DNA inhibitor"
"56",1827,"Dihydrorotenone","-","Unknown"
"57",1730,"PAK_5339","PAK1, PAK2",""
"58",1803,"Acetalax","-","Unknown"
"59",1835,"Elephantin","-","Unknown"
"60",1838,"Sinularin","-","Unknown"
"61",1844,"776928","-","Unknown"
"62",2000,"N27922-53-1","-","Unknown"
"63",1586,"BDILV000379a","BAZ2A, BAZ2B","Histone acetylation effector"
"64",1718,"JAK1_8709","JAK1","JAK inhibitor"
"65",1732,"TAF1_5496","TAF1","Other"
"66",1779,"GSK626616AC","DYRK1A","Tyrosine kinase inhibitor"
"67",1785,"LMB_AB3","PPP1R15B","Other"
"68",1806,"Oxaliplatin","DNA alkylating agent","DNA alkylating/crosslinking/intercalating agent, DNA inhibitor"
"69",2113,"VTP-B","-","Unknown"
"70",2145,"PBD-288","-","Unknown"
"71",2148,"POMHEX","-","Unknown"
"72",1866,"BDP-00009066","MRCKB_HUMAN","Cytoskeleton"
"73",1998,"BPD-00008900","-","Other"
"74",2037,"GSK343","EZH2","Histone methylation regulator"
"75",2039,"AGK2","BAZ2A, BAZ2B","Histone acetylation effector"
"76",1808,"Topotecan","TOP1","Topoisomerase inhibitor"
"77",1810,"Mitoxantrone","TOP2","Topoisomerase inhibitor"
"78",1811,"Dactinomycin","RNA polymerase","antibiotics (Streptomyces strain), DNA inhibitor"
"79",1815,"Dacarbazine","CP11A","DNA inhibitor"
"80",1582,"SGC-CBP30","EP300, CBP","Histone acetylation effector"
"81",1585,"BDF00022089a","BRPF1, BRPF2, BRPF3","Histone acetylation effector"
"82",1706,"AZD5153","BRD4","Bromodomain inhibitor"
"83",1712,"Eg5_9814","KSP11","Other"
"84",1713,"ERK_2440","ERK1,ERK2","ERK inhibitor"
"85",1720,"AZD5991","MCL1","Apoptosis regulator inhibitor"
"86",2055,"Mycophenolic acid","-",""
"87",2158,"CPI-637","EP300","Histone acetylation effector"
"88",2438,"ascorbate (vitamin C)","anti-oxidant proteins","Antioxidant protein"
"89",1845,"Schweinfurthin A","-","Unknown"
"90",1999,"N25720-51-A1","-","Unknown"
"91",2003,"N29087-69-1","-","Unknown"
"92",1401,"AZD5438","CDK2","CDK inhibitor"
"93",1428,"IAP_5620","IAP","NFkB pathway inhibitor"
"94",1441,"AZD2014","mTORC1, mTORC2","mTOR inhibitor"
"95",1813,"Fludarabine","Antimetabolite","Anti-metabolite/nucleotide"
"96",1819,"Docetaxel","Microtubule stabiliser","Microtubule stabiliser"
"97",1826,"50869","-","Unknown"
"98",1581,"Bromosporine","CECR2, BRD2, BRD4, BRD9","Bromodomain inhibitor"
"99",1709,"CDK9_5038","CDK9","CDK inhibitor"
"100",1714,"ERK_6604","ERK1,ERK2","ERK inhibitor"
"101",1782,"GSK2830371A","PPM1D","Wip1 signaling regulator"
"102",1807,"Carmustine","-","DNA inhibitor"
"103",2156,"5-azacytidine","DNA methyltransferases","Other"
"104",1037,"BX795","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","NFkB pathway inhibitor"
"105",1559,"Luminespib","HSP90","HSP inhibitor"
"106",1062,"Selumetinib","MEK1, MEK2","MEK inhibitor"
"107",1635,"Picolinici-acid","Inflammatory related","Other"
"108",1032,"Afatinib","EGFR, ERBB2","EGF receptor inhibitor"
"109",1046,"Wee1 Inhibitor","WEE1, CHEK1","Wee/Plk inhibitor"
"110",1930,"Telomerase Inhibitor IX","Telomerase","Telomerase inhibitor"
"111",1091,"BMS-536924","IGF1R, IR","IGF receptor inhibitor"
"112",1039,"SL0101","RSK, AURKB, PIM1, PIM3","Other mTOR pathway regulators"
"113",1200,"Fulvestrant","ESR","Estrogen receptor antagonist"
"114",1494,"SN-38","TOP1","DNA inhibitor, Topoisomerase inhibitor"
"115",1022,"AZD7762","CHEK1, CHEK2","Chk inhibitor"
"116",1941,"Sepantronium bromide","BIRC5","Apoptosis regulator inhibitor"
"117",1910,"ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","Apoptosis regulator inhibitor"
"118",1061,"SB590885","BRAF","RAF kinase inhibitor"
"119",1038,"NU7441","DNAPK","dsDNA repair pathway"
"120",1086,"BI-2536","PLK1, PLK2, PLK3","Wee/Plk inhibitor"
"121",1068,"Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","Apoptosis regulator inhibitor"
"122",1047,"Nutlin-3a (-)","MDM2","MDM2 inhibitor"
"123",1149,"TW 37","BCL2, BCL-XL, MCL1","Apoptosis regulator inhibitor"
"124",1549,"Sapitinib","EGFR, ERBB2, ERBB3","EGF receptor inhibitor"
"125",1133,"Serdemetan","MDM2","MDM2 inhibitor"
"126",1043,"JNK Inhibitor VIII","JNK","JNK/p38 inhibitor"
"127",1083,"Crizotinib","MET, ALK, ROS1","RTK signaling, ALK tyrosine kinase inhibitor, HGF receptor inhibitor"
"128",2096,"VX-11e","ERK2","ERK inhibitor"
"129",1510,"Linsitinib","IGF1R","IGF receptor inhibitor"
"130",1852,"LY2109761","TGFB1","Other"
"131",1029,"Motesanib","VEGFR, RET, KIT, PDGFR","VEGF receptor inhibitor, Other RTK inhibitor, SCGF receptor inhibitor, PDGF receptor inhibitor"
"132",1372,"Trametinib","MEK1, MEK2","MEK inhibitor"
"133",2110,"GSK591","PMRT5","Histone methylation regulator"
"134",2047,"Ulixertinib","ERK1, ERK2","EGF receptor inhibitor, ERK inhibitor"
"135",1908,"Ulixertinib","ERK1, ERK2","EGF receptor inhibitor, ERK inhibitor"
"136",2107,"LJI308","RSK2, RSK1, RSK3","Other mTOR pathway regulators"
"137",1018,"Veliparib","PARP1, PARP2","PARP inhibitor, Androgen receptor/biosynthesis modulator"
"138",1057,"Dactolisib","PI3K (class 1), MTORC1, MTORC2","PI3K inhibitor"
"139",1010,"Gefitinib","EGFR","EGF receptor inhibitor"
"140",1024,"Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other RTK inhibitor, JAK inhibitor, Tyrosine kinase inhibitor"
"141",1008,"Methotrexate","Antimetabolite","Anti-metabolite/nucleotide"
"142",1049,"PD173074","FGFR1, FGFR2, FGFR3","FGF receptor inhibitor"
