"","name","moas_curated","target"
"1","olaparib","2 and 3 inhibitor","PARP1, PARP2"
"2","ixazomib","26S proteasome inhibitor",NA
"3","7-hydroxystaurosporine","3-phosphoinositide dependent protein kinase-1 inhibitor","CHEK1, MARK3, PDPK1"
"4","AR-12","3-phosphoinositide dependent protein kinase-1 inhibitor","PDPK1"
"5","nitisinone","4-hydroxyphenylpyruvate dioxygenase inhibitor","HPD"
"6","AT-9283","ABL tyrosine kinase inhibitor","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A"
"7","KW-2449","ABL tyrosine kinase inhibitor","ABL1, AURKA, AURKB, FLT3"
"8","ZM-306416","ABL tyrosine kinase inhibitor","EGFR, FLT1, FLT4, KDR"
"9","bafetinib","ABL tyrosine kinase inhibitor","ABL1, BCR, LYN"
"10","bosutinib","ABL tyrosine kinase inhibitor","ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK"
"11","dasatinib","ABL tyrosine kinase inhibitor","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1"
"12","flumatinib","ABL tyrosine kinase inhibitor","ABL1, PDGFRB"
"13","nilotinib","ABL tyrosine kinase inhibitor","ABL1, KIT"
"14","regorafenib","ABL tyrosine kinase inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
"15","saracatinib","ABL tyrosine kinase inhibitor","ABL1, LCK, SRC, YES1"
"16","KD-023","ACAT inhibitor","ACACA, ACACB"
"17","A-674563","AKT inhibitor","AKT1, PKIA, PRKACA"
"18","AT7867","AKT inhibitor","AKT2, GSK3B, PKIA, PRKACA"
"19","AZD5363","AKT inhibitor","AKT1, AKT2, AKT3"
"20","CCT128930","AKT inhibitor","PKIA, PRKACA"
"21","GDC-0068","AKT inhibitor","AKT1, AKT2, AKT3, PRKG1"
"22","GSK2110183","AKT inhibitor","AKT1, AKT2, AKT3"
"23","MK-2206","AKT inhibitor","AKT1, AKT2, AKT3"
"24","ONC201","AKT inhibitor","TNFSF10"
"25","palomid-529","AKT inhibitor","MTOR"
"26","triciribine","AKT inhibitor","AKT1, AKT2, AKT3"
"27","uprosertib","AKT inhibitor","AKT1, AKT2, AKT3"
"28","AP26113","ALK tyrosine kinase inhibitor","ALK, EGFR"
"29","AZD3463","ALK tyrosine kinase inhibitor","ALK, IGF1R"
"30","CEP-37440","ALK tyrosine kinase inhibitor","ALK"
"31","DMH1","ALK tyrosine kinase inhibitor","ACVR1"
"32","GW-788388","ALK tyrosine kinase inhibitor","LCK, MAPK14, TGFBR1"
"33","NVP-TAE684","ALK tyrosine kinase inhibitor","ALK, INSR"
"34","SB-505124","ALK tyrosine kinase inhibitor","TGFBR1"
"35","alectinib","ALK tyrosine kinase inhibitor","ALK, MET"
"36","brigatinib","ALK tyrosine kinase inhibitor","ALK, EGFR"
"37","crizotinib","ALK tyrosine kinase inhibitor","ALK, MET"
"38","lorlatinib","ALK tyrosine kinase inhibitor","ALK"
"39","tanshinone-i","AP inhibitor","IFNG"
"40","golgicide-a","ARF inhibitor","GBF1"
"41","chlorpropamide","ATP channel blocker","ABCC8, KCNJ10, KCNJ11"
"42","oligomycin-a","ATP synthase inhibitor","ATP5A1"
"43","pyrithione-zinc","ATP synthase inhibitor","KCNQ1, KCNQ2, KCNQ4, KCNQ5"
"44","NMS-873","ATPase inhibitor","VCP"
"45","blebbistatin-(-)","ATPase inhibitor",NA
"46","digitoxigenin","ATPase inhibitor","ATP1A1"
"47","digitoxin","ATPase inhibitor","ATP1A1"
"48","digoxin","ATPase inhibitor","ATP1A1"
"49","evodiamine","ATPase inhibitor","TRPV1"
"50","k-strophanthidin","ATPase inhibitor","ATP1A1"
"51","oligomycin-a","ATPase inhibitor","ATP5A1"
"52","omeprazole","ATPase inhibitor","ATP4A, CLCN2"
"53","ouabain","ATPase inhibitor","ATP1A1"
"54","rabeprazole","ATPase inhibitor","ATP4A"
"55","thonzonium","ATPase inhibitor",NA
"56","AZ20","ATR inhibitor","ATR, MTOR"
"57","ETP-46464","ATR inhibitor",NA
"58","VE-821","ATR inhibitor","ATR"
"59","VE-822","ATR inhibitor","ATM, ATR, MTOR, PIK3CG"
"60","CCMI","Acetylcholine receptor agonist","CHRNA7"
"61","carbachol","Acetylcholine receptor agonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2"
"62","nefiracetam","Acetylcholine receptor agonist","CHRM1"
"63","nicotine","Acetylcholine receptor agonist","CHAT, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB2, CHRNB3, CHRNB4, CYP19A1, TBXAS1, TRPA1"
"64","oxiracetam","Acetylcholine receptor agonist",NA
"65","pilocarpine","Acetylcholine receptor agonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
"66","tremorine","Acetylcholine receptor agonist",NA
"67","xanomeline","Acetylcholine receptor agonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6, HTR7"
"68","CCMI","Acetylcholine receptor allosteric modulator","CHRNA7"
"69","VU0238429","Acetylcholine receptor allosteric modulator","CHRM5"
"70","5-hydroxymethyl-tolterodine","Acetylcholine receptor antagonist","CHRM3"
"71","darifenacin","Acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
"72","dicycloverine","Acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3"
"73","diphemanil","Acetylcholine receptor antagonist","CHRM3"
"74","hyoscyamine","Acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4"
"75","iododexetimide","Acetylcholine receptor antagonist",NA
"76","methscopolamine","Acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3"
"77","bifemelane","Acetylcholine release enhancer","MAOA, MAOB"
"78","chlorpyrifos","Acetylcholinesterase inhibitor","ACHE"
"79","demecarium","Acetylcholinesterase inhibitor","ACHE, BCHE"
"80","dichlorvos","Acetylcholinesterase inhibitor",NA
"81","secnidazole","Acetylcholinesterase inhibitor",NA
"82","cladribine","Adenosine deaminase inhibitor","ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B"
"83","pentostatin","Adenosine deaminase inhibitor","ADA"
"84","ABT-702","Adenosine kinase inhibitor","ADK"
"85","2'-MeCCPA","Adenosine receptor agonist","ADORA1"
"86","SDZ-WAG-994","Adenosine receptor agonist","ADORA1"
"87","bucladesine","Adenosine receptor agonist","PRKACA"
"88","CGS-15943","Adenosine receptor antagonist","ADORA1, ADORA2A, ADORA2B, ADORA3"
"89","MRS-1220","Adenosine receptor antagonist","ADORA2B, ADORA3"
"90","PSB-1115","Adenosine receptor antagonist","ADORA1, ADORA2B, ADORA3"
"91","SCH-58261","Adenosine receptor antagonist","ADORA1, ADORA2A, ADORA2B, ADORA3"
"92","istradefylline","Adenosine receptor antagonist","ADORA1, ADORA2A, ADORA2B, ADORA3"
"93","sulmazole","Adenosine receptor antagonist",NA
"94","theophylline","Adenosine receptor antagonist",NA
"95","colforsin-daproate","Adenylyl cyclase activator",NA
"96","forskolin","Adenylyl cyclase activator","ADCY2, ADCY5, GNAS"
"97","A61603","Adrenergic receptor agonist","ADRA1A"
"98","buphenine","Adrenergic receptor agonist","ADRB2"
"99","clenbuterol","Adrenergic receptor agonist","ADRB1, ADRB2, ADRB3, NGF, TNF"
"100","epinephrine","Adrenergic receptor agonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH, TNF"
"101","isoetharine","Adrenergic receptor agonist","ADRB1, ADRB2"
"102","isoxsuprine","Adrenergic receptor agonist","ADRB2"
"103","lidamidine","Adrenergic receptor agonist",NA
"104","metaraminol","Adrenergic receptor agonist","ADRA1A"
"105","methyldopa","Adrenergic receptor agonist","ADRA2A, ADRA2B, ADRA2C, DDC"
"106","midodrine","Adrenergic receptor agonist","ADRA1A, ADRA1B, ADRA1D"
"107","norepinephrine","Adrenergic receptor agonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH, SLC18A1, SLC18A2"
"108","oxymetazoline","Adrenergic receptor agonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1B, HTR1D, HTR2C"
"109","pindolol","Adrenergic receptor agonist","ADRB1, ADRB2, HTR1A, HTR1B, HTR2A, HTR2B"
"110","ritodrine","Adrenergic receptor agonist","ADRB2"
"111","terbutaline","Adrenergic receptor agonist","ADRB2"
"112","xylazine","Adrenergic receptor agonist","ADRA2A, ADRA2B, ADRA2C"
"113","RS-17053","Adrenergic receptor antagonist","ADRA1A, ADRA1D"
"114","atenolol-(+/-)","Adrenergic receptor antagonist","ADRB1, ADRB2"
"115","atenolol-(-)","Adrenergic receptor antagonist",NA
"116","atipamezole","Adrenergic receptor antagonist",NA
"117","carvedilol","Adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, GJA1, HIF1A, KCNH2, NDUFC2, NPPB, SELE, VCAM1, VEGFA"
"118","dihydroergocristine","Adrenergic receptor antagonist","ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7"
"119","dronedarone","Adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, KCNA5, KCNH2, KCNK2, SCN1A"
"120","idazoxan","Adrenergic receptor antagonist","ADRA2A"
"121","imiloxan","Adrenergic receptor antagonist","ADRA2A, ADRA2B"
"122","levobunolol","Adrenergic receptor antagonist","ADRB1, ADRB2, ADRB3"
"123","metoprolol","Adrenergic receptor antagonist","ADRB1, ADRB2"
"124","naftidrofuryl","Adrenergic receptor antagonist",NA
"125","oxprenolol","Adrenergic receptor antagonist","ADRB1, ADRB2"
"126","pindolol","Adrenergic receptor antagonist","ADRB1, ADRB2, HTR1A, HTR1B, HTR2A, HTR2B"
"127","practolol","Adrenergic receptor antagonist","ADRB1"
"128","prazosin","Adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, KCNH2, KCNH6, KCNH7"
"129","propranolol","Adrenergic receptor antagonist",NA
"130","sertindole","Adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2C, HTR6, KCNH2"
"131","vincamine","Adrenergic receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4"
"132","disulfiram","Aldehyde dehydrogenase inhibitor","ALDH2, DBH"
"133","ciclopirox","Aluminium chelating agent","ATP1A1"
"134","azathioprine","Amidophosphoribosyltransferase inhibitor","HPRT1, IMPDH1, PPAT"
"135","triamterene","Amiloride-sensitive sodium channel","SCNN1A, SCNN1B, SCNN1D, SCNN1G"
"136","UK-383367","Aminopeptidase inhibitor","BMP1"
"137","alogliptin","Aminopeptidase inhibitor","DPP4"
"138","loxistatin-acid","Aminopeptidase inhibitor","CTSB"
"139","saxagliptin","Aminopeptidase inhibitor","DPP4"
"140","tosedostat","Aminopeptidase inhibitor","ANPEP, LAP3, NPEPPS"
"141","PF-04457845","Anandamide amidohydrolase inhibitor","FAAH"
"142","MK-0773","Androgen receptor/biosynthesis modulator","AR"
"143","RU-58841","Androgen receptor/biosynthesis modulator","AR"
"144","abiraterone","Androgen receptor/biosynthesis modulator","CYP11B1, CYP17A1"
"145","abiraterone-acetate","Androgen receptor/biosynthesis modulator","CYP17A1"
"146","bicalutamide","Androgen receptor/biosynthesis modulator","AR"
"147","cyproterone-acetate","Androgen receptor/biosynthesis modulator","ADORA1, AR"
"148","danazol","Androgen receptor/biosynthesis modulator","AR, CCL2, ESR1, GNRHR, GNRHR2, PGR"
"149","enzalutamide","Androgen receptor/biosynthesis modulator","AR"
"150","flutamide","Androgen receptor/biosynthesis modulator","AHR, AR"
"151","galeterone","Androgen receptor/biosynthesis modulator","AR, CYP17A1"
"152","nilutamide","Androgen receptor/biosynthesis modulator","AR"
"153","pomalidomide","Angiogenesis inhibitor","CRBN, PTGS2, TNF"
"154","roquinimex","Angiogenesis inhibitor",NA
"155","tranilast","Angiogenesis inhibitor","HPGDS, HRH1"
"156","azilsartan","Angiotensin antagonist","AGTR1, AGTR2"
"157","candesartan","Angiotensin antagonist","AGTR1"
"158","eprosartan","Angiotensin antagonist","AGTR1"
"159","imidapril","Angiotensin antagonist","ACE"
"160","temocapril","Angiotensin antagonist","ACE"
"161","bephenium-hydroxynaphthoate","Anthelmintic agent",NA
"162","methiazole","Anthelmintic agent",NA
"163","betamethasone-dipropionate","Anti-inflammatory agent",NA
"164","prednisolone-tebutate","Anti-inflammatory agent",NA
"165","pentamidine","Anti-pneumocystis agent","TRDMT1"
"166","lenalidomide","Anticancer agent","CDH5, CRBN, PTGS2, TNF, TNFSF11"
"167","linalool","Anticonvulsant",NA
"168","parachlorophenol","Antiinfective drug",NA
"169","dihydroartemisinin","Antimalarial agent",NA
"170","halofantrine","Antimalarial agent","KCNH2, KCNN4"
"171","primaquine","Antimalarial agent","KRT7, NQO2"
"172","thiomersal","Antimicrobial preservative","OXCT1"
"173","iobenguane","Antineoplastic agent",NA
"174","benfotiamine","Antioxidant","AGER"
"175","chlorogenic-acid","Antioxidant","SLC37A4"
"176","mesna","Antioxidant",NA
"177","rutin","Antioxidant","AKR1C3"
"178","taurine","Antioxidant",NA
"179","trolox","Antioxidant",NA
"180","broxyquinoline","Antiprotozoal agent",NA
"181","diclazuril","Antiprotozoal agent",NA
"182","narasin","Antiprotozoal agent",NA
"183","octenidine","Antiseptic",NA
"184","chromocarb","Antispasmodic",NA
"185","10-deacetylbaccatin","Antitumor agent",NA
"186","LY2334737","Antitumor agent",NA
"187","clobutinol","Antitussive",NA
"188","ribavirin","Antiviral","ADK, ENPP1, IMPDH1, IMPDH2, NT5C2"
"189","vidarabine","Antiviral","ADA"
"190","afobazole","Anxiolytic",NA
"191","2,3-DCPE","Apoptosis regulator inhibitor","BCL2L1"
"192","BMS-387032","Apoptosis regulator inhibitor","CDK2, CDK7, CDK9"
"193","betulinic-acid","Apoptosis regulator inhibitor","GPBAR1"
"194","dioscin","Apoptosis regulator inhibitor","CXCR3"
"195","fenretinide","Apoptosis regulator inhibitor","RARA"
"196","gossypol","Apoptosis regulator inhibitor","BCL2"
"197","navitoclax","Apoptosis regulator inhibitor","BCL2, BCL2L1, BCL2L2"
"198","oncrasin-1","Apoptosis regulator inhibitor",NA
"199","tasisulam","Apoptosis regulator inhibitor",NA
"200","venetoclax","Apoptosis regulator inhibitor","BCL2"
"201","sulfasalazine","Arachidonate 5-lipoxygenase inhibitor","ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, PTGS1, PTGS2, SLC46A1, SLC7A11, TBXAS1"
"202","anastrozole","Aromatase inhibitor","CYP19A1"
"203","exemestane","Aromatase inhibitor","CYP19A1"
"204","formestane","Aromatase inhibitor","CYP19A1"
"205","letrozole","Aromatase inhibitor","CYP19A1"
"206","stemregenin-1","Aryl hydrocarbon receptor antagonist","AHR"
"207","pepstatin","Aspartic protease inhibitor","CTSB, CTSD, CTSL, REN"
"208","hyodeoxycholic-acid","Atherosclerosis formation inhibitor",NA
"209","AMG900","Aurora kinase inhibitor","AURKA, AURKB, AURKC"
"210","AT-9283","Aurora kinase inhibitor","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A"
"211","CCT129202","Aurora kinase inhibitor","AURKA, AURKB, AURKC"
"212","CCT137690","Aurora kinase inhibitor","AURKA, AURKB, AURKC"
"213","CYC116","Aurora kinase inhibitor","AURKA, AURKB, KDR"
"214","ENMD-2076","Aurora kinase inhibitor","AURKA, FLT3, KDR, PDGFRA, PTK2, SRC"
"215","GSK1070916","Aurora kinase inhibitor","AURKA, AURKB, AURKC, CYP2D6, CYP3A4"
"216","KW-2449","Aurora kinase inhibitor","ABL1, AURKA, AURKB, FLT3"
"217","MK-5108","Aurora kinase inhibitor","AURKA, AURKB, AURKC"
"218","MK-8745","Aurora kinase inhibitor","AURKA"
"219","MLN-8054","Aurora kinase inhibitor","AURKA"
